Date,Open,High,Low,Close,Adj Close,Volume
2018-04-30,162.130005,184.250000,161.839996,183.830002,179.695419,252805700
2018-05-07,185.179993,190.369995,183.669998,188.589996,184.348328,148266900
2018-05-14,189.009995,189.529999,185.100006,186.309998,182.821884,99248800
2018-05-21,188.000000,189.649994,185.759995,188.580002,185.049393,94394900
2018-05-28,187.600006,190.259995,186.139999,190.240005,186.678314,92129900
2018-06-04,191.639999,194.199997,189.770004,191.699997,188.110962,116769800
2018-06-11,191.350006,192.880005,188.259995,188.839996,185.304504,140187300
2018-06-18,187.880005,189.220001,183.449997,184.919998,181.457901,125604400
2018-06-25,183.399994,187.279999,180.729996,185.110001,181.644363,121620500
2018-07-02,183.820007,188.429993,183.419998,187.970001,184.450790,65775500
2018-07-09,189.500000,191.839996,187.610001,191.330002,187.747894,85082200
2018-07-16,191.520004,192.649994,189.199997,191.440002,187.855835,87934000
2018-07-23,190.679993,195.960007,189.559998,190.979996,187.404449,94497200
2018-07-30,191.899994,208.740005,189.070007,207.990005,204.095993,224189600
2018-08-06,208.000000,209.779999,204.520004,207.529999,203.644592,121642100
2018-08-13,209.309998,217.949997,207.699997,217.580002,214.255234,139373900
2018-08-20,218.100006,219.179993,213.839996,216.160004,212.856949,112825200
2018-08-27,217.149994,228.869995,216.330002,227.630005,224.151657,162690600
2018-09-03,228.410004,229.669998,220.710007,221.300003,217.918411,132632900
2018-09-10,220.949997,228.350006,216.470001,223.839996,220.419571,198249900
2018-09-17,222.149994,222.949997,215.300003,217.660004,214.334030,218746100
2018-09-24,216.820007,226.440002,216.630005,225.740005,222.290543,129343100
2018-10-01,227.949997,233.470001,220.580002,224.289993,220.862717,142666300
2018-10-08,222.210007,227.270004,212.320007,222.110001,218.716034,192007800
2018-10-15,221.160004,222.990005,213.000000,219.309998,215.958801,148520400
2018-10-22,219.789993,224.229996,212.669998,216.300003,212.994797,185599600
2018-10-29,219.190002,222.360001,205.429993,207.479996,204.309570,270606300
2018-11-05,204.300003,210.119995,198.169998,204.470001,201.345581,191199400
2018-11-12,199.000000,199.850006,185.929993,193.529999,191.237686,242226500
2018-11-19,190.000000,190.699997,172.100006,172.289993,170.249252,164498700
2018-11-26,174.240005,182.800003,170.259995,178.580002,176.464767,213749900
2018-12-03,184.460007,184.940002,168.300003,168.490005,166.494278,167526800
2018-12-10,165.000000,172.570007,163.330002,165.479996,163.519913,217537700
2018-12-17,165.449997,168.350006,149.630005,150.729996,148.944626,287694300
2018-12-24,148.149994,158.520004,146.589996,156.229996,154.379486,191160200
2018-12-31,158.529999,159.360001,142.000000,148.259995,146.503891,221962500
2019-01-07,148.699997,154.529999,145.899994,152.289993,150.486160,203706100
2019-01-14,150.850006,157.880005,149.220001,156.820007,154.962494,155292000
2019-01-21,156.410004,158.130005,151.699997,157.759995,155.891357,112501600
2019-01-28,155.789993,169.000000,153.660004,166.520004,164.547607,202296800
2019-02-04,167.410004,175.570007,167.279999,170.410004,168.391525,151398400
2019-02-11,171.050003,172.479996,169.250000,170.419998,169.123657,112229600
2019-02-18,169.710007,173.320007,169.490005,172.970001,171.654251,81250100
2019-02-25,174.160004,175.869995,172.729996,174.970001,173.639038,120880600
2019-03-04,175.690002,177.750000,169.500000,172.910004,171.594711,116779800
2019-03-11,175.490005,187.330002,175.350006,186.119995,184.704224,158133500
2019-03-18,185.800003,197.690002,184.729996,191.050003,189.596725,182343300
2019-03-25,191.509995,192.880005,184.580002,189.949997,188.505081,167838600
2019-04-01,191.639999,197.100006,188.380005,197.000000,195.501465,111540400
2019-04-08,196.419998,202.850006,196.210007,198.869995,197.357239,132006700
2019-04-15,198.580002,204.149994,198.009995,203.860001,202.309296,96335600
2019-04-22,202.830002,208.479996,202.119995,204.300003,202.745941,97495400
2019-04-29,204.399994,215.309998,199.110001,211.750000,210.139267,186455600
2019-05-06,204.289993,208.839996,192.770004,197.179993,195.680099,173663600
2019-05-13,187.710007,192.470001,182.850006,189.000000,188.284622,186415500
2019-05-20,183.520004,188.000000,177.809998,178.970001,178.292587,156970100
2019-05-27,178.919998,180.589996,174.990005,175.070007,174.407349,104691400
2019-06-03,175.600006,191.919998,170.270004,190.149994,189.430267,154348200
2019-06-10,191.809998,196.789993,190.300003,192.740005,192.010468,111843100
2019-06-17,192.899994,200.850006,192.169998,198.779999,198.027603,131658900
2019-06-24,198.539993,201.570007,195.289993,197.919998,197.170853,117368500
2019-07-01,203.169998,205.080002,200.649994,204.229996,203.456970,72879400
2019-07-08,200.809998,204.389999,198.410004,203.300003,202.530502,101600700
2019-07-15,204.089996,206.500000,202.360001,202.589996,201.823181,87433200
2019-07-22,203.649994,209.729996,203.610001,207.740005,206.953690,87153200
2019-07-29,208.460007,221.369995,201.630005,204.020004,203.247772,219770500
2019-08-05,197.990005,203.529999,192.580002,200.990005,200.229248,173211400
2019-08-12,199.619995,212.139999,199.149994,206.500000,206.500000,161088600
2019-08-19,210.619995,214.440002,201.000000,202.639999,202.639999,141905000
2019-08-26,205.860001,210.449997,203.320007,208.740005,208.740005,109989600
2019-09-02,206.429993,206.979996,204.220001,205.699997,205.699997,20023000
